category,path,bytes,sha256
evidence_registry,results/RESULTS_INDEX.md,5876,843b98c464debdee09fcb51aa9b445fea18d8df98637115b7eba302bbe7bd931
provenance_and_paper_support,results/r036_claim_tables/CLAIM_TABLE_GENERATOR.md,2452,c9344b3f21053f55a50ecea9540b00e2919953311e98e7d98e8d93a35c7ee330
provenance_and_paper_support,results/r036_claim_tables/MANIFEST.md,1746,00915a2b7a698c6426eb0ebd7ee805a08f217fd4af0a75be26ebc536c9fa394a
provenance_and_paper_support,results/r036_claim_tables/main_costmatched_claims.md,992,58d82f67351cfe3c2b91ecf0fab3ac16f483868c2aacb8bb228dfcb4027406b1
provenance_and_paper_support,results/r036_claim_tables/trigger_repair_claims.md,662,149f0a58e4b2b735141dde2bea33e6093f305bd8f533deacd7c7f6cae9090bd7
provenance_and_paper_support,results/r037_citation_audit_batch1/CITATION_METADATA_CONTEXT_AUDIT.md,3661,493d698839c5372d406a370ff07fe4df8b04b546a5b6a07ff14d65e9579e64ca
provenance_and_paper_support,results/r037_citation_audit_batch1/MANIFEST.md,1414,55b2c3cf58c3335ac31c8b14472df4154c222ca137d2060d198a5a6aca8f7247
provenance_and_paper_support,results/r037_citation_audit_batch1/candidate_metadata_context_audit.csv,1207,c46478c90ae92646dc9462e3eb1464c73f8ef8f4bf7d216d4a5417b92b5a8123
provenance_and_paper_support,results/r037_citation_audit_batch1/candidate_validation_after.json,2107,e7e1151a70ffecb7f2abe7bc61169b5b15104d35b54be098a581ba7aafa2e44b
provenance_and_paper_support,results/r038_manuscript_skeleton/MANIFEST.md,1381,547141fb2d539b78854cd0f0ce5957bac33fc2862784e623701f94224b4ba5cc
provenance_and_paper_support,results/r038_manuscript_skeleton/MANUSCRIPT_SKELETON.md,2666,e6632c0ca1aaff8c4050b09ea72a6b93095671f83cb8397716f1afc5ec590dbd
provenance_and_paper_support,results/r038_manuscript_skeleton/paper_references_validation.json,3215,24ad83fd5fc9e4f3414bb5a102cb12fc88cea7e77177c7ab1a7cc78d41ddce81
provenance_and_paper_support,results/r039_project_organization/MANIFEST.md,1415,ec32794c99d14c7bdc37827672f346bd38f1303c294b41b043b935845a2e9ed0
provenance_and_paper_support,results/r039_project_organization/PROJECT_ORGANIZATION.md,2023,abef0f8456bb4bfe4901dedd9215e6f17348510935503ebd54dc528abc165c2c
provenance_and_paper_support,results/r040_manuscript_polish/MANIFEST.md,1253,684b8d5416bce6488f417a687744c0c1d088afb1bda6e139007d22b99b9ab494
provenance_and_paper_support,results/r040_manuscript_polish/MANUSCRIPT_POLISH.md,1457,83bfd8033de9ce0195e413a3aa492a30288700aa5c5874739012f20924e3a9b3
provenance_and_paper_support,results/r041_results_discussion_polish/MANIFEST.md,1117,54fe06a7feb972ccd941b02da3c520e00183632dd59b52d86177cdac141173ed
provenance_and_paper_support,results/r041_results_discussion_polish/MANUSCRIPT_POLISH.md,1336,c4047c7fba14d9e3afef58979c0002500e224f2079e55e04380aeba06051c5ff
provenance_and_paper_support,results/r042_citation_context_audit/CITATION_CONTEXT_AUDIT.md,1776,46ea01db745b5d3c1a19e5970a0512e46b566f440de25e40dd70994c5ecd2f14
provenance_and_paper_support,results/r042_citation_context_audit/MANIFEST.md,1544,32d525847d0cfec6015bb13ef099bcb66b431470a7cfc6124199eb2a73ad4e9a
provenance_and_paper_support,results/r042_citation_context_audit/paper_references_validation_after_r042.json,3400,4c7407ab17e84db20d58066d77f4f447b503f5ceac9b2a570cf609479fcf045a
provenance_and_paper_support,results/r043_venue_targeting/MANIFEST.md,1206,2cf7d7c69981ec24c3b90820297d9dba266d34551e91593c0f9a62864252b60f
provenance_and_paper_support,results/r043_venue_targeting/VENUE_TARGET_MATRIX.md,8653,4a66dcbc2b5d6d107f1f7b2158f4d2677c8b63e328b5a0964c2ada0540eff668
provenance_and_paper_support,results/r044_environment_reproducibility_audit/INNOVATION_AND_RIGOR_ROADMAP.md,2239,2fccb9fd203584a0a7c46eae0a241c98f05c6cc4409edf6c47529cd714837fa9
